CATEGORY,HEBREW,STRONGS
Ransom,גָּאַל,H1350
Ransom,כֹּפֶר,H3724
Ransom,פָּדָה,H6299
Ransom,פְּדוּת,H6304
Ransom,פִּדְיוֹם,H6306
Redeem,גָּאַל,H1350
Redeem,פָּדָה,H6299
Redemption,גְּאֻלָּה,H1353
Redemption,פָּלַט,H6403
Redemption,פִּדְיוֹם,H6306
Redeemer,גָּאַל,H1350
Remnant,יָתַר,H3498
Remnant,יֶתֶר,H3499
Remnant,פְּלֵיטָה,H6413
Remnant,שָׁאַר,H7604
Remnant,שְׁאָר,H7605
Remnant,שְׁאֵרִית,H7611
Remnant,שָׂרִיד,H8300
Remnant,סֶרַח,H5629
Remnant,שָׁרָה,H8281
Repent,שׁוּב,H7725
Repent,נָחַם,H5162
Righteous,צַדִּיק,H6662
Righteous,צֶדֶק,H6664
Righteous,צָדַק,H6663
Righteous,צְדָקָה,H6666
Righteous,יָשָׁר,H3477
Righteousness,צְדָקָה,H6666
Righteousness,צֶדֶק,H6664
Upright,יָשָׁר,H3477
Upright,נָצַב,H5324
Upright,קוֹמְמִיּוּת,H6968
Upright,תָּמִים,H8549
Upright,תָּמַם,H8552
Upright,תֹּם,H8537
Upright,מִקְשָׁה,H4749
Upright,עָמַד,H5975
Upright,תָּם,H8535
Upright,מֵישָׁר,H4339
Integrity,תֹּם,H8537
Integrity,תֻּמָּה,H8538
Sabbath /Sabbath Rest,שַׁבָּת,H7676
Sabbath /Sabbath Rest,שַׁבָּתוֹן,H7677
Sacrifice,זֶבַח,H2077
Sacrifice,קָרְבָּן,H7133
Sacrifice,עֹלָה,H5930
Sacrifice,מִנְחָה,H4503
Sacrifice,חַטָּאָת,H2403
Sacrifice,אָשָׁם,H817
Sacrifice,זָבַח,H2076
Sanctify,קָדַשׁ,H6942
Sanctify,קָדוֹשׁ,H6918
Consecrate,מִלֻּא,H4394
Consecrate,קָדַשׁ,H6942
Consecrate,נָזִיר,H5139
Consecrate,מָלָא,H4390
Consecrate,נָזַר,H5144
Consecrate,חָרַם,H2763
Sanctuary,מִקְדָּשׁ,H4720
Sanctuary,קֹדֶשׁ,H6944
Satan,שָׂטָן,H7854
Save,יָשַׁע,H3467
Save,נָצַל,H5337
Save,מָלַט,H4422
Save,פָּלַט,H6403
Save,חָיָה,H2421
Save,לָהֵן,H3861
Savior,יָשַׁע,H3467
Salvation,יֵשַׁע,H3468
Salvation,תְּשׁוּעָה,H8668
Shepherd,רָעָה,H7462
Sign,אוֹת,H226
Sign,מוֹפֵת,H4159
Sign,רְשַׁם,H7560
Sin,חֲטָאָה,H2401
Sin,חַטָּאָת,H2403
Sin,חָטָא,H2398
Sin,עָוֹן,H5771
Sin,פֶּשַׁע,H6588
Transgression,פֶּשַׁע,H6588
Transgression,מַעַל,H4604
Transgression,עָבַר,H5674
"Slave, Slavery",עֶבֶד,H5650
"Slave, Slavery",אָמָה,H519
"Slave, Slavery",שִׁפְחָה,H8198
"Slave, Slavery",עֶבֶד,H5650
"Slave, Slavery",עַבְדוּת,H5659
Soul,נֶפֶשׁ,H5315
Life,חַי,H2416
Life,נֶפֶשׁ,H5315
Spirit,רוּחַ,H7307
Tabernacle,אֹהֶל,H168
Tabernacle,מִשְׁכָּן,H4908
Tabernacle,שֹׂךְ,H7900
Temple,בִּירָה,H1002
Temple,בַּיִת,H1004
Temple,הֵיכָל,H1964
Temple,הֵיכַל,H1965
Tent of Meeting,אֹהֶל,H168
Tent of Meeting,מוֹעֵד,H4150
"to...""know""",יָדַע,H3045
Truth,אֱמֶת,H571
Truth,אֱמוּנָה,H530
Truth,קְשֹׁט,H7187
Truth,יַצִּיב,H3330
Truth,יְצֵב,H3321
_True,אֱמֶת,H571
_True,אָמְנָם,H551
Unclean,טָמֵא,H2930
Unclean,טָמֵא,H2931
Unclean,טָמְאָה,H2932
Unclean,נִדָּה,H5079
Vow,נָדַר,H5087
Vow,נֶדֶר,H5088
Wisdom,חָכְמָה,H2451
Wisdom,תָּבוּן,H8394
Wisdom,שֵׂכֶל,H7922
Wisdom,חָכְמָה,H2452
Wisdom,תּוּשִׁיָּה,H8454
Wisdom,חָכְמוֹת,H2454
Wise,חָכָם,H2450
Wise,חָכְמָה,H2451
Wise,שָׂכַל,H7919
Wise,חַכִּים,H2445
Wise,חָכַם,H2449
Word of God,אֵמֶר,H561
Word of God,אִמְרָה,H565
Word of God,דָּבָר,H1697
Word of God,יְהֹוָה,H3068
Worship,סְגִד,H5457
Worship,שָׁחָה,H7812
Wrath,אַף,H639
Wrath,זַעַף,H2197
Wrath,חֵמָה,H2534
Wrath,חָרוֹן,H2740
Wrath,כָּעַס,H3707
Wrath,עֶבְרָה,H5678
Wrath,קְצַף,H7109
Wrath,קֶצֶף,H7110
Wrath,רֹגֶז,H7267
Yahweh / the LORD,יְהֹוָה,H3068
